metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
raw_pnl,100,40.87212790467021,47.246039705957436,4.724603970595743,46.573831961589974,22.432988447190127,67.2062427550047,44.77325430781457,31.61190412230255,50.13235168703787,0.1,169.23169868810783,randomised,pooled_all_seeds
mean_abs_inventory,100,3.2392025,1.806273203931554,0.1806273203931554,2.830875,1.933375,3.8561875,1.9228124999999998,2.8851729520294156,3.593232047970585,0.0,11.86125,randomised,pooled_all_seeds
terminal_abs_inventory,100,4.6,3.3363622602039382,0.33363622602039383,4.0,2.0,7.0,5.0,3.946072997000028,5.253927002999972,0.0,16.0,randomised,pooled_all_seeds
full_objective,100,33.86629114543016,62.85100665340228,6.285100665340228,37.54427386446575,13.311046487366577,60.73267782938351,47.42163134201694,21.547493841363313,46.18508844949701,0.17,300.264650925517,return_lstm_ppo,pooled_all_seeds
raw_pnl,100,34.23147154543017,62.777765128489555,6.2777765128489555,38.07622886446575,13.570153362366568,60.848275329383505,47.278121967016936,21.927029580246213,46.53591351061412,0.17,300.880510925517,return_lstm_ppo,pooled_all_seeds
mean_abs_inventory,100,4.20962,2.1287192166021596,0.21287192166021596,3.952,2.5135625,5.557375,3.0438125000000005,3.792391033545977,4.626848966454023,0.0,9.9935,return_lstm_ppo,pooled_all_seeds
terminal_abs_inventory,100,7.12,4.411371897743606,0.44113718977436056,7.0,4.0,10.0,6.0,6.255371108042254,7.984628891957747,0.0,21.0,return_lstm_ppo,pooled_all_seeds
full_objective,100,36.00315417993847,72.77750665539592,7.2777506655395925,41.59712320003483,7.33180006329609,64.37928209900005,57.047482035703965,21.73876287548087,50.26754548439607,0.19,356.89501684533195,return_mlp_ppo,pooled_all_seeds
raw_pnl,100,36.45834912993846,72.68402147686814,7.268402147686814,41.78797320003483,9.284341938296052,64.65819897400006,55.373857035704006,22.212280920472306,50.704417339404614,0.19,357.84471684533196,return_mlp_ppo,pooled_all_seeds
mean_abs_inventory,100,5.01967,2.6599323679125164,0.26599323679125164,4.868875,3.0481875,6.3143125,3.2661249999999997,4.498323255889146,5.541016744110853,0.0,12.1145,return_mlp_ppo,pooled_all_seeds
terminal_abs_inventory,100,6.37,4.460047107601017,0.44600471076010173,6.0,3.0,9.0,6.0,5.495830766910201,7.244169233089799,0.0,22.0,return_mlp_ppo,pooled_all_seeds
